Frame,radarX,radarY,RX,RY,RX,RY,RX,RY,RX,RY,RX,RY
144,66.8539,590.773,-587.667,2599.39,-792.688,3764.09,-899.772,4838.38,-932.203,5927.96,-1009.05,7099.35
145,66.8881,595.74,-587.299,2599.7,-792.783,3764.14,-899.869,4838.55,-932.383,5928.07,-1009.11,7099.4
146,66.79,600.577,-587.312,2599.68,-792.791,3764.16,-899.6,4838.59,-932.375,5928.04,-1009.19,7099.39
147,67.3873,604.976,-587.703,2599.38,-792.75,3764.17,-899.774,4838.35,-932.226,5927.91,-1009.22,7099.36
148,67.4066,609.874,-587.667,2599.39,-792.687,3764.13,-899.201,4838.47,-932.115,5927.87,-1009.21,7099.33
149,67.2449,614.976,-587.702,2599.36,-792.682,3764.1,-899.297,4838.56,-932.186,5927.94,-1009.16,7099.3
150,67.1773,619.886,-587.806,2599.37,-792.774,3764.09,-899.962,4838.53,-932.354,5928.07,-1009.1,7099.28
151,67.8087,624.511,-587.344,2599.67,-792.862,3764.08,-899.642,4838.53,-932.394,5928.02,-1009.07,7099.28
152,68.1792,629.796,-587.347,2599.67,-792.861,3764.07,-899.386,4838.37,-932.289,5927.87,-1009.11,7099.33
153,68.8224,634.131,-587.648,2599.4,-792.762,3764.06,-899.154,4838.24,-932.159,5927.75,-1009.18,7099.33
154,68.9238,639.077,-587.6,2599.38,-792.629,3764.06,-899.162,4838.35,-932.133,5927.82,-1009.19,7099.32
155,68.9654,644.258,-587.65,2599.39,-792.568,3764.11,-899.805,4838.5,-932.224,5928.04,-1009.19,7099.35
156,68.8089,649.41,-587.736,2599.38,-792.647,3764.17,-899.468,4838.78,-932.308,5928.17,-1009.14,7099.35
157,69.2338,654.165,-587.746,2599.35,-792.795,3764.2,-899.439,4838.66,-932.254,5928.08,-1009.09,7099.43
158,69.3549,659.465,-587.729,2599.34,-792.895,3764.18,-899.294,4838.43,-932.201,5927.89,-1009.08,7099.41
159,69.5758,664.607,-587.729,2599.34,-792.898,3764.09,-899.321,4838.32,-932.276,5927.86,-1009.11,7099.4
160,69.4841,668.815,-587.76,2599.36,-792.782,3764.03,-899.749,4838.33,-932.313,5927.95,-1009.15,7099.35
161,69.2386,673.779,-587.741,2599.4,-792.628,3764.07,-899.52,4838.68,-932.347,5928.11,-1009.18,7099.32
162,69.1974,679.112,-587.692,2599.46,-792.53,3764.21,-899.399,4838.78,-932.232,5928.16,-1009.17,7099.35
163,69.6301,683.582,-587.619,2599.46,-792.592,3764.32,-899.404,4838.63,-932.091,5928.04,-1009.17,7099.42
164,70.0083,688.443,-587.661,2599.41,-792.74,3764.28,-899.291,4838.45,-932.002,5927.9,-1009.13,7099.43
165,70.1819,693.429,-587.739,2599.33,-792.817,3764.12,-899.248,4838.46,-932.175,5927.88,-1009.07,7099.4
166,69.7545,698.416,-587.82,2599.28,-792.814,3763.96,-899.526,4838.5,-932.368,5927.99,-1009.04,7099.34
167,70.4254,702.556,-587.794,2599.31,-792.751,3763.93,-899.644,4838.51,-932.409,5928.02,-1009.08,7099.26
168,70.7114,707.592,-587.696,2599.36,-792.68,3764.01,-899.469,4838.42,-932.294,5927.93,-1009.12,7099.25
169,70.902,712.334,-587.641,2599.41,-792.698,3764.15,-899.667,4838.27,-932.137,5927.85,-1009.21,7099.31
170,70.7144,717.439,-587.676,2599.41,-792.733,3764.23,-899.289,4838.5,-932.142,5927.91,-1009.24,7099.38
171,70.751,722.107,-587.758,2599.38,-792.746,3764.22,-899.427,4838.67,-932.295,5928.1,-1009.21,7099.44
172,70.7898,727.068,-587.293,2599.63,-792.719,3764.1,-899.565,4838.72,-932.325,5928.14,-1009.11,7099.42
173,70.5513,731.915,-587.292,2599.64,-792.69,3763.99,-899.929,4838.44,-932.309,5928.03,-1009.06,7099.35
174,70.769,737.02,-587.666,2599.38,-792.701,3763.95,-899.349,4838.29,-932.202,5927.82,-1009.1,7099.29
175,44.1546,743.812,-587.605,2599.43,-792.706,3764.03,-899.21,4838.18,-932.156,5927.75,-1009.22,7099.31
176,43.8028,749.32,-587.642,2599.41,-792.731,3764.14,-899.729,4838.22,-932.201,5927.87,-1009.3,7099.33
177,43.6756,753.751,-587.716,2599.39,-792.685,3764.18,-899.516,4838.62,-932.296,5928.07,-1009.29,7099.37
178,43.5642,758.734,-587.28,2599.64,-792.674,3764.16,-899.517,4838.75,-932.293,5928.16,-1009.22,7099.38
179,43.836,763.059,-587.305,2599.62,-792.691,3764.13,-899.351,4838.7,-932.186,5928.07,-1009.08,7099.38
180,44.1117,768.222,-587.701,2599.34,-792.759,3764.12,-899.673,4838.4,-932.14,5927.93,-1008.99,7099.35
181,44.3647,773.166,-587.718,2599.38,-792.853,3764.13,-899.284,4838.47,-932.21,5927.9,-1009,7099.34
182,44.0966,778.007,-587.788,2599.4,-792.856,3764.14,-899.792,4838.4,-932.344,5927.98,-1009.1,7099.29
183,43.9558,782.573,-587.799,2599.39,-792.795,3764.11,-900.038,4838.46,-932.422,5928.09,-1009.21,7099.29
184,44.5404,786.962,-587.726,2599.37,-792.67,3764.1,-899.502,4838.6,-932.309,5928.05,-1009.25,7099.29
185,44.6787,791.664,-587.643,2599.36,-792.578,3764.1,-899.208,4838.56,-932.127,5927.96,-1009.18,7099.34
186,44.7985,796.651,-587.631,2599.38,-792.595,3764.17,-899.11,4838.58,-932.022,5927.93,-1009.11,7099.42
187,44.7167,801.779,-587.69,2599.39,-792.712,3764.22,-899.349,4838.59,-932.139,5927.98,-1009.08,7099.45
188,44.4971,806.941,-587.784,2599.38,-792.847,3764.15,-899.562,4838.55,-932.342,5928,-1009.11,7099.42
189,44.106,811.895,-587.807,2599.39,-792.866,3764.03,-899.626,4838.4,-932.42,5927.96,-1009.17,7099.37
190,44.286,816.435,-587.722,2599.39,-792.774,3763.96,-899.44,4838.29,-932.32,5927.88,-1009.24,7099.33
191,44.192,821.372,-587.607,2599.41,-792.634,3763.99,-899.245,4838.31,-932.15,5927.84,-1009.23,7099.35
192,44.1705,825.742,-587.595,2599.41,-792.55,3764.11,-899.241,4838.56,-932.128,5927.98,-1009.18,7099.36
193,44.2234,830.466,-587.223,2599.7,-792.636,3764.21,-899.442,4838.79,-932.226,5928.16,-1009.09,7099.4
194,44.3697,835.528,-587.27,2599.68,-792.744,3764.23,-899.474,4838.81,-932.283,5928.17,-1009.04,7099.4
195,44.643,840.574,-587.316,2599.66,-792.818,3764.16,-899.446,4838.56,-932.278,5928.01,-1009.01,7099.37
196,45.1352,845.214,-587.67,2599.35,-792.79,3764.02,-899.239,4838.3,-932.158,5927.79,-1009.11,7099.31
197,45.4381,849.974,-587.645,2599.36,-792.694,3763.93,-899.273,4838.21,-932.193,5927.77,-1009.16,7099.22
198,45.6089,854.364,-587.682,2599.39,-792.627,3763.95,-899.804,4838.27,-932.251,5927.91,-1009.24,7099.22
199,45.3503,859.214,-587.266,2599.71,-792.65,3764.1,-899.484,4838.65,-932.307,5928.09,-1009.25,7099.28
200,45.4563,864.327,-587.309,2599.7,-792.734,3764.26,-899.458,4838.75,-932.247,5928.13,-1009.22,7099.36
201,45.9141,869.558,-587.71,2599.39,-792.793,3764.31,-899.205,4838.66,-932.103,5928,-1009.12,7099.38
202,45.9708,874.455,-587.693,2599.36,-792.804,3764.24,-899.127,4838.56,-932.124,5927.93,-1009.07,7099.36
203,45.7332,879.05,-587.719,2599.37,-792.769,3764.11,-899.412,4838.52,-932.224,5927.95,-1009.09,7099.32
204,45.347,884.328,-587.766,2599.36,-792.73,3763.99,-899.814,4838.45,-932.381,5928.02,-1009.15,7099.29
205,45.8892,889.136,-587.294,2599.67,-792.744,3763.99,-899.581,4838.49,-932.399,5928.01,-1009.22,7099.27
206,46.1378,894.02,-587.289,2599.69,-792.768,3764.08,-899.859,4838.25,-932.276,5927.92,-1009.24,7099.32
207,46.0645,898.59,-587.676,2599.41,-792.795,3764.18,-899.695,4838.23,-932.188,5927.87,-1009.2,7099.43
208,46.2826,903.019,-587.687,2599.38,-792.754,3764.16,-899.293,4838.51,-932.157,5927.92,-1009.12,7099.42
209,46.1526,907.743,-587.728,2599.38,-792.683,3764.13,-899.439,4838.67,-932.244,5928.07,-1008.99,7099.41
210,45.9171,912.94,-587.743,2599.41,-792.626,3764.07,-899.481,4838.71,-932.292,5928.1,-1009.04,7099.38
211,46.5598,917.565,-587.663,2599.45,-792.631,3764.05,-899.832,4838.36,-932.249,5927.98,-1009.12,7099.37
212,47.1615,922.388,-587.604,2599.46,-792.698,3764.07,-899.221,4838.29,-932.161,5927.83,-1009.19,7099.32
213,47.7099,927.465,-587.612,2599.44,-792.722,3764.1,-899.345,4838.26,-932.161,5927.84,-1009.3,7099.3
214,47.5074,931.885,-587.702,2599.38,-792.721,3764.14,-899.369,4838.52,-932.247,5927.99,-1009.24,7099.29
215,47.3859,936.648,-587.766,2599.33,-792.682,3764.15,-899.561,4838.75,-932.311,5928.17,-1009.16,7099.35
216,48.305,942.282,-587.775,2599.29,-792.718,3764.15,-899.453,4838.78,-932.275,5928.14,-1009.08,7099.34
217,48.4822,946.801,-587.706,2599.32,-792.766,3764.14,-899.345,4838.58,-932.221,5928,-1009.08,7099.31
218,48.1468,952.002,-587.667,2599.35,-792.789,3764.15,-899.237,4838.41,-932.121,5927.83,-1009.13,7099.31
219,48.1576,956.485,-587.676,2599.39,-792.769,3764.12,-899.301,4838.41,-932.187,5927.85,-1009.2,7099.29
220,47.8878,960.787,-587.729,2599.38,-792.704,3764.06,-899.895,4838.39,-932.314,5927.98,-1009.21,7099.27
221,47.1201,966.204,-587.761,2599.38,-792.672,3764.05,-899.471,4838.61,-932.325,5928.04,-1009.16,7099.27
222,47.5576,970.369,-587.718,2599.39,-792.65,3764.08,-899.4,4838.62,-932.233,5928.03,-1009.08,7099.34
223,47.6895,975.27,-587.676,2599.4,-792.695,3764.16,-899.256,4838.57,-932.127,5927.94,-1009.04,7099.42
224,48.1577,980.573,-587.682,2599.42,-792.751,3764.21,-899.202,4838.57,-932.16,5927.97,-1009.05,7099.46
225,47.9908,984.753,-587.698,2599.43,-792.773,3764.18,-899.424,4838.57,-932.231,5928,-1009.08,7099.46
226,47.9462,989.473,-587.708,2599.41,-792.754,3764.09,-899.901,4838.4,-932.311,5928,-1009.19,7099.38
227,48.0437,994.387,-587.658,2599.37,-792.704,3763.98,-899.89,4838.28,-932.312,5927.95,-1009.26,7099.31
228,48.4153,998.876,-587.628,2599.34,-792.665,3763.93,-899.377,4838.35,-932.253,5927.86,-1009.28,7099.29
229,48.4157,1003.95,-587.651,2599.36,-792.692,3764,-899.373,4838.37,-932.21,5927.87,-1009.25,7099.33
230,48.5243,1008.93,-587.732,2599.38,-792.761,3764.13,-899.701,4838.43,-932.273,5927.97,-1009.18,7099.43
231,48.4769,1014.01,-587.775,2599.4,-792.779,3764.22,-899.553,4838.66,-932.322,5928.09,-1009.07,7099.45
232,48.6597,1018.6,-587.297,2599.72,-792.734,3764.19,-899.929,4838.56,-932.294,5928.1,-1009.03,7099.42
233,48.8109,1023.27,-587.268,2599.71,-792.659,3764.09,-899.308,4838.55,-932.203,5927.98,-1009.03,7099.29
234,48.9176,1028.12,-587.635,2599.4,-792.622,3764.02,-899.27,4838.4,-932.127,5927.88,-1009.13,7099.23
235,48.9942,1032.6,-587.672,2599.37,-792.668,3764.02,-899.282,4838.41,-932.194,5927.9,-1009.18,7099.2
236,49.111,1037.25,-587.714,2599.35,-792.736,3764.11,-899.393,4838.52,-932.243,5927.97,-1009.16,7099.27
237,48.8174,1042.3,-587.739,2599.36,-792.756,3764.22,-899.47,4838.65,-932.273,5928.06,-1009.11,7099.3
238,49.1591,1046.83,-587.681,2599.39,-792.704,3764.26,-899.329,4838.71,-932.203,5928.06,-1009.08,7099.39
239,49.4158,1051.37,-587.641,2599.39,-792.673,3764.21,-899.646,4838.48,-932.128,5927.96,-1009.06,7099.4
240,49.5536,1055.86,-587.64,2599.39,-792.672,3764.1,-899.438,4838.48,-932.116,5927.91,-1009.11,7099.39
241,49.6592,1060.44,-587.699,2599.35,-792.727,3764.03,-899.35,4838.52,-932.238,5927.95,-1009.17,7099.34
242,50.073,1065.42,-587.761,2599.33,-792.792,3764.02,-899.977,4838.37,-932.354,5928.03,-1009.22,7099.36
243,49.8798,1069.77,-587.777,2599.36,-792.814,3764.06,-899.551,4838.5,-932.364,5928.02,-1009.22,7099.36
244,50.1393,1074.6,-587.736,2599.4,-792.808,3764.1,-899.39,4838.47,-932.282,5927.96,-1009.16,7099.34
245,50.7955,1079.99,-587.676,2599.44,-792.729,3764.12,-899.718,4838.32,-932.179,5927.89,-1009.12,7099.4
246,50.3296,1084.64,-587.654,2599.46,-792.648,3764.15,-899.313,4838.53,-932.171,5927.94,-1009.08,7099.43
247,76.2819,1092.24,-587.662,2599.47,-792.615,3764.16,-899.401,4838.61,-932.233,5928.02,-1009.09,7099.45
248,75.3254,1096.41,-587.694,2599.43,-792.652,3764.14,-899.901,4838.48,-932.3,5928.05,-1009.15,7099.43
249,75.1337,1101.77,-587.698,2599.39,-792.737,3764.11,-899.454,4838.49,-932.285,5927.98,-1009.2,7099.37
250,50.1937,1104.07,-587.662,2599.36,-792.776,3764.09,-899.32,4838.35,-932.204,5927.85,-1009.18,7099.32
251,51.0492,1109.17,-587.661,2599.34,-792.745,3764.06,-899.268,4838.38,-932.166,5927.85,-1009.07,7099.27
252,50.55,1113.45,-587.685,2599.33,-792.701,3764.07,-899.371,4838.56,-932.229,5927.99,-1009.02,7099.26
253,49.8713,1118.42,-587.761,2599.32,-792.69,3764.11,-899.921,4838.58,-932.301,5928.11,-1009.04,7099.28
254,50.6316,1123.61,-587.799,2599.37,-792.728,3764.16,-899.442,4838.76,-932.283,5928.12,-1009.11,7099.34
255,50.8201,1127.84,-587.76,2599.4,-792.768,3764.2,-899.344,4838.62,-932.211,5928,-1009.19,7099.35
256,51.2448,1132.6,-587.704,2599.42,-792.775,3764.18,-899.302,4838.46,-932.14,5927.89,-1009.21,7099.32
257,51.5553,1137.71,-587.68,2599.43,-792.724,3764.12,-899.273,4838.45,-932.167,5927.9,-1009.2,7099.32
258,51.6854,1142.17,-587.684,2599.42,-792.653,3764.08,-899.367,4838.56,-932.256,5928,-1009.13,7099.32
259,51.9271,1147.16,-587.694,2599.4,-792.621,3764.09,-899.414,4838.62,-932.281,5928.03,-1009.11,7099.35
260,52.1764,1152.21,-587.67,2599.37,-792.657,3764.13,-899.388,4838.53,-932.249,5927.98,-1009.1,7099.39
261,52.4416,1157.4,-587.658,2599.36,-792.752,3764.16,-899.238,4838.47,-932.139,5927.87,-1009.13,7099.45
262,52.5741,1162.84,-587.676,2599.37,-792.793,3764.15,-899.292,4838.44,-932.147,5927.85,-1009.13,7099.47
263,52.2408,1167.96,-587.719,2599.39,-792.787,3764.09,-899.388,4838.54,-932.287,5927.99,-1009.13,7099.48
264,51.465,1172.41,-587.722,2599.4,-792.71,3764.04,-899.528,4838.56,-932.322,5928.05,-1009.09,7099.38
265,51.8609,1176.93,-587.207,2599.73,-792.631,3764.04,-899.439,4838.57,-932.294,5928.06,-1009.07,7099.35
266,52.543,1182.09,-587.224,2599.74,-792.625,3764.1,-899.767,4838.34,-932.227,5927.98,-1009.11,7099.36
267,52.2825,1186.82,-587.645,2599.4,-792.672,3764.16,-899.301,4838.45,-932.164,5927.91,-1009.13,7099.34
268,52.3247,1191.54,-587.735,2599.34,-792.796,3764.16,-899.404,4838.55,-932.245,5927.98,-1009.18,7099.31
269,52.5886,1196,-587.813,2599.31,-792.841,3764.11,-899.542,4838.62,-932.35,5928.06,-1009.19,7099.27
270,52.7602,1200.93,-587.783,2599.31,-792.787,3764.06,-899.521,4838.61,-932.321,5928.04,-1009.17,7099.3
271,53.0912,1205.49,-587.681,2599.37,-792.692,3764.07,-899.29,4838.52,-932.245,5927.96,-1009.13,7099.31
272,53.6446,1209.85,-587.573,2599.42,-792.571,3764.12,-899.171,4838.44,-932.085,5927.87,-1009.1,7099.35
273,53.7407,1214.89,-587.582,2599.42,-792.584,3764.16,-899.146,4838.51,-932.112,5927.9,-1009.08,7099.38
274,53.6561,1219.79,-587.697,2599.36,-792.693,3764.16,-899.412,4838.6,-932.244,5928.01,-1009.11,7099.34
275,53.426,1225.36,-587.824,2599.29,-792.833,3764.12,-899.643,4838.66,-932.375,5928.08,-1009.11,7099.32
276,53.4973,1229.22,-587.826,2599.29,-792.858,3764.1,-899.959,4838.49,-932.337,5928.03,-1009.1,7099.34
277,53.8236,1233.82,-587.702,2599.34,-792.788,3764.11,-899.773,4838.4,-932.226,5927.94,-1009.1,7099.4
278,53.8737,1238.59,-587.621,2599.45,-792.648,3764.18,-899.283,4838.51,-932.153,5927.92,-1009.12,7099.45
279,53.1116,1243.97,-587.616,2599.5,-792.556,3764.2,-899.291,4838.57,-932.191,5928,-1009.13,7099.46
280,53.2218,1248.14,-587.216,2599.78,-792.617,3764.17,-899.456,4838.59,-932.268,5928.05,-1009.16,7099.43
281,53.1162,1252.49,-587.294,2599.68,-792.76,3764.09,-899.906,4838.38,-932.303,5928.01,-1009.2,7099.37
282,53.5586,1257.27,-587.763,2599.3,-792.841,3764.01,-899.443,4838.37,-932.262,5927.9,-1009.19,7099.33
283,54.1075,1262.27,-587.733,2599.3,-792.824,3763.98,-899.318,4838.31,-932.206,5927.83,-1009.22,7099.33
284,53.9672,1266.69,-587.676,2599.36,-792.719,3764.03,-899.321,4838.4,-932.181,5927.88,-1009.19,7099.37
285,54.5173,1271.54,-587.611,2599.44,-792.57,3764.12,-899.391,4838.56,-932.203,5928.02,-1009.15,7099.4
286,54.2573,1276.05,-587.124,2599.78,-792.492,3764.2,-899.457,4838.65,-932.183,5928.1,-1009.08,7099.41
287,54.4655,1280.96,-587.167,2599.73,-792.547,3764.2,-899.272,4838.64,-932.162,5928.06,-1009.07,7099.32
